subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub47,d,s,25%,25%,0.9166666666666666
sub47,d,s,25%,75%,0.8333333333333334
sub47,d,s,75%,25%,0.9166666666666666
sub47,d,s,75%,75%,0.9166666666666666
sub47,n,r,25%,25%,0.9166666666666666
sub47,n,r,25%,75%,0.9166666666666666
sub47,n,r,75%,25%,0.9166666666666666
sub47,n,r,75%,75%,1
sub47,n,s,25%,25%,0.8333333333333334
sub47,n,s,25%,75%,1
sub47,n,s,75%,25%,1
sub47,n,s,75%,75%,0.9166666666666666
sub48,d,r,25%,25%,1
sub48,d,r,25%,75%,0.9166666666666666
sub48,d,r,75%,25%,0.5
sub48,d,r,75%,75%,0.8333333333333334
sub48,d,s,25%,25%,0.9166666666666666
sub48,d,s,25%,75%,0.8333333333333334
sub48,d,s,75%,25%,0.5833333333333334
sub48,d,s,75%,75%,0.75
sub48,n,r,25%,25%,0.9166666666666666
sub48,n,r,25%,75%,0.9166666666666666
sub48,n,r,75%,25%,0.8333333333333334
sub48,n,r,75%,75%,0.8333333333333334
sub48,n,s,25%,25%,0.8333333333333334
sub48,n,s,25%,75%,0.8333333333333334
sub48,n,s,75%,25%,0.6666666666666666
sub48,n,s,75%,75%,0.8333333333333334
sub49,d,r,25%,25%,1
sub49,d,r,25%,75%,0.9166666666666666
sub49,d,r,75%,25%,1
sub49,d,r,75%,75%,0.75
sub49,d,s,25%,25%,0.9166666666666666
sub49,d,s,25%,75%,0.8333333333333334
sub49,d,s,75%,25%,1
sub49,d,s,75%,75%,1
sub49,n,r,25%,25%,1
sub49,n,r,25%,75%,1
sub49,n,r,75%,25%,0.9166666666666666
sub49,n,r,75%,75%,1
sub49,n,s,25%,25%,0.9166666666666666
sub49,n,s,25%,75%,0.9166666666666666
sub49,n,s,75%,25%,0.9166666666666666
sub49,n,s,75%,75%,0.8333333333333334
sub5,d,r,25%,25%,0.9166666666666666
sub5,d,r,25%,75%,1
